,,,,,
,,OPTIMISATION,PRIORITY,CHECK,STATE
, 1 - FOUNDATIONS,,,,
,,General Housekeeping,,,
,FALSE,Mobile Responsiveness,High,"Is the page fully responsive on all devices, with no design or functionality issues on mobile?",Yes
,FALSE,Cross-Browser Compatibility,High,"Has the page been tested across different browsers (e.g., Chrome, Firefox, Safari) to ensure it displays and functions correctly?",Yes
,FALSE,Page Load Speed,High,Does the landing page load quickly (ideally under 3 seconds)?,
,FALSE,Above-the-Fold Content,High,"Does the most important information (headline, CTA, hero image) appear above the fold without requiring scrolling?",
,FALSE,Clear Messaging in Hero Section,High,"Does the above-the-fold content communicate what the business does within 5 seconds, ensuring visitors immediately understand the value proposition?",
,FALSE,Production Quality & Professionalism,High,"Does the overall page design demonstrate a high level of professionalism and build trust with visitors through thoughtful design, visuals, and messaging?",
,FALSE,Logical URL,High,"Is the landing page URL clear, easy to read, and aligned with conventional URL structures to ensure it appears trustworthy?",
,FALSE,Clear Favicon,Normal,"Is a recognizable favicon present in the browser tab, reinforcing the brand’s professionalism and consistency?",
,FALSE,Lead Notification Alerts,High,"Are notifications or alerts set up for goal completions (e.g., conversions), and is everyone who needs to receive lead information properly included in the notifications?",
, 2 - ABOVE THE FOLD,,,,
,,Navigation Bar,,,
,FALSE,Navigation Bar,Optional,"If present, is the navigation bar simple and have a conventional design (logo top left and CTA top right)? If using links ensure they are section links to different sections of the same page.",
,FALSE,Sticky CTA,Normal,Is there a sticky CTA button that follows the user as they scroll?,
,FALSE,Trust Signal,Optional,Is there a trust signal such as a total review count or accreditation logos?,
,,Hero: Capturing Attention Immediately,,,
,FALSE,Main Headline,High,Does the main headline clearly communicate what the page is about and a proposed value proposition?,
,FALSE,Subheadline,High,Is there a supporting subheadline that reinforces the main message and elaborates on the value?,
,FALSE,Benefit Points,Optional,"Are there short, direct benefit points or value propositions below the subheadline, clearly communicating the key advantages to the visitor?",
,FALSE,Hero Image/Video,High,"Is the hero media visually engaging and aligned with the message? Does it evoke the right emotion, clearly illustrate the product/service, and make it immediately clear what the page is about?",
,FALSE,Call-to-Action (CTA),High,"Is the CTA button clearly visible in the hero section (above the fold)? Is it attention-grabbing with clear, actionable language?",
,FALSE,Trust Signal,High," Is there a visible trust signal, such as an accreditation (e.g., BBB, TrustPilot) or a total review count with a recognizable review platform logo (e.g., Google Reviews, Yelp) to build credibility right away?",
,FALSE,Personalised Element,Optional,"Is there personalised text or a pre-headline that enhances the visitor’s experience by mentioning their location or calling out who they are (e.g., homeowners, business owners)?",
, 3 - FORM DESIGN,,,,
,,Form Headline & Subheading,,,
,FALSE,Form Headline ,High,"Is there a clear, benefit-oriented headline above the form that explains what the user will get by filling out the form (e.g., ""Get Your Free Quote Now"")?",
,FALSE,Form Subheading,Normal,"Does the subheading reinforce the headline by clarifying what will happen next or providing additional context (e.g., ""We'll get back to you within 24 hours with a custom estimate"")?",
,,Form Headline & Subheading,,,
,FALSE,Hero Section Form,Optional,Is the form placed in the hero section for easy access? Is it visible above the fold without requiring scrolling?,
,FALSE,Prominent Placement,High,"Is the form positioned in a location where it naturally fits within the flow of the page (e.g., after benefits, near the final pitch)?",
,,Form Headline & Subheading,,,
,FALSE,Minimal Fields,High,Have you kept the number of form fields to a minimum (only asking for essential information)?,
,FALSE,Multi-Step Forms (If Necessary),Optional,"If the form requires a lot of information, is it broken into manageable, multi-step stages to prevent overwhelming the user and improve completion rates?",
,FALSE,Easy-to-Answer Questions,High,"Are questions easy to understand and answer, using dropdowns or checklists wherever possible, instead of open-ended question fields, to minimise friction and decision fatigue?",
,,Clarity & Usability,,,
,FALSE,Clear Labels,Normal,"Are all form fields clearly labelled, with placeholder text or labels that describe the required information?",
,FALSE,Inline Error Messages,Normal,Are there user-friendly inline error messages to guide visitors if they make a mistake?,
,FALSE,Auto-Complete,Normal,Is auto-complete enabled where possible to make the form easier to fill out?,
,FALSE,Mobile Optimisation,Normal,"Is the form fully responsive and easy to complete on mobile devices, with appropriately sized fields and buttons?",
,,Form Interaction & UX,,,
,FALSE,Progress Indicators (Multi-Step Forms),Normal," If the form is multi-step, is there a clear progress indicator to show how many steps are left?",
,FALSE,CTA Button Design,Normal,"Is the form’s CTA button clear, action-oriented, and visually distinct (e.g., ""Get My Free Quote"" instead of ""Submit"")?",
,,Friction Reduction & Trust,,,
,FALSE,Social Proof Near The Form,High,"Is there any trust signal or social proof (e.g., ""Join 10,000+ subscribers,"" ""As seen on..."") near the form to build confidence?",
,FALSE,Privacy Assurance,Normal,"Is there a privacy assurance message (e.g., ""We won’t spam you"" or ""Your information is safe with us"") near the form to reduce hesitation?",
,FALSE,Optional Fields,Normal,Have you clearly marked optional fields to avoid overwhelming users?,
,,Form Completion,,,
,FALSE,Form Submission Incentive,Normal,"Is there an incentive for form completion (e.g., ""Get 10% off"" or ""Free consultation"") to motivate visitors to fill it out?",
,FALSE,Follow-Up Confirmation,Normal,"Is there a confirmation message or redirect to a thank you page that reassures users their form has been submitted successfully, and sets expectations for what happens next?",
,,CTA Design & Placement,,,
,FALSE,Actionable CTA Button,Normal,"Is the CTA button text actionable and specific (e.g., ""Get Started Now,"" ""Claim Your Free Trial"")?",
,FALSE,Prominent Placement,Normal,Is the CTA button clearly visible and placed in strategic areas across the page?,
,FALSE,Multiple CTAs,Normal,Have you placed multiple CTAs throughout the page to capture visitors at different stages of decision-making?,
,FALSE,Contrast and Design,High,Does the CTA button stand out visually with contrasting colours to make it eye-catching?,
,FALSE,CTA Button Copy,Normal,"Is the copy clear, persuasive, and free of friction (avoid ""Submit,"" ""Click Here"")?",
,FALSE,Urgency or Scarcity,Optional,"Does the CTA create a sense of urgency or scarcity where appropriate (e.g., ""Limited Time Offer"" or ""Only 5 Spots Left"") to encourage quicker conversions? If not relevant, does the CTA still clearly motivate immediate action?",
,4 - TRANSFORMATION,,,,
,,Visualising the Customer Journey,,,
,FALSE,Strategic Placement,Normal,Is the transformation section placed directly below the hero section to provide an immediate step-by-step visualisation of what happens after the visitor completes the form?,
,FALSE,Step-by-Step Process,Normal,"Does the section walk the visitor through a clear, step-by-step process of what happens after purchasing or signing up?",
,FALSE,Icons and Imagery,Normal,"Are clear icons, images, or illustrations used to visually represent each step, making the journey easy to understand at a glance?",
,FALSE,Multi-Column Layout,Normal,Is the transformation section presented in a multi-column layout to make it scannable and visually appealing?,
,FALSE,Labelled Steps,Normal,"Are the steps clearly labelled (e.g., ""Step 1,"" ""Step 2"") with concise, actionable explanations of what happens at each stage?",
,,Outcome Focus,,,
,FALSE,End Result Emphasis,Normal,Does the transformation section focus on the positive end result or benefit the visitor will experience after completing the process?,
,FALSE,Emotional Engagement,Normal,"Is the text and imagery emotionally engaging, showing how life or business will improve post-purchase or post-sign-up?",
,FALSE,Before-and-After Comparison,Optional,Is there a before-and-after comparison (visual or textual) that illustrates the difference the visitor will experience?,
,,Value-Driven Offer,,,
,FALSE,Offer Clarity,High,Is the offer immediately clear to the visitor? Can they quickly understand the benefits of taking action?,
,FALSE,Pain Points,Normal,Does the offer directly address the visitor’s pain points or challenges?,
,FALSE,Benefits Over Features,High,Does the offer emphasise benefits (how it helps) rather than just features (what it is)?,
,FALSE,Urgency & Scarcity,High,Are there elements of urgency (limited-time offer) or scarcity (limited spots or quantities) to motivate quick action?,
,FALSE,Visual Clarity,Normal,"Is the value-driven offer presented with clear, supporting visuals that enhance the appeal?",
,5 - TRUST,,,,
,,Social Proof,,,
,FALSE,Native Design for Testimonials,Normal,"Do testimonials have a design that mimics the original platform they came from (e.g., Google Reviews, Yelp), including star ratings, logos, or reviewer's information, to make them appear more authentic and trustworthy?",
,FALSE,Testimonials Throughout the Page,Optional,"Are testimonials used throughout the landing page to support specific content, not just in a dedicated testimonial section, to reinforce key messages and build trust continuously?",
,FALSE,Amplified Testimonials,High,"Are there high-quality testimonials that highlight key benefits and overcome common objections? Are key quotes or persuasive excerpts from testimonials highlighted (e.g., bolded or used as a headline) to catch attention.",
,FALSE,Video Testimonials,Optional,Are there video testimonials to add authenticity?,
,FALSE,Case Studies or Success Stories,High,Have you included detailed case studies that show real-world results?,
,FALSE,Logos of Well-Known Clients,Normal,"If applicable, are recognizable client logos displayed to build credibility?",
,,Establishing Credibility,,,
,FALSE,Customer Count or Activity Metrics,Normal,"Are metrics like ""Over 1,000 satisfied customers"" or ""Trusted by 500+ businesses"" displayed to build trust through social proof?",
,FALSE,Trust Badges,Normal,"Are trust badges or symbols (e.g., privacy badges, SSL-secured icons) displayed near the form or CTA to reassure visitors that their personal information is secure?",
,FALSE,Certifications and Awards,Normal,"Are any industry certifications, awards, or accreditations displayed to establish credibility?",
,FALSE,Trade Accreditation Logos,Normal,"Are logos from relevant trade organisations, governing bodies, or professional associations displayed to show industry compliance and professionalism?",
,FALSE,Privacy Assurance,Normal,"Is there a short privacy assurance message near the form (e.g., ""We will never share your information"")?",
,,Benefits & Features (Highlighting Value),,,
,FALSE,"Clear, Scannable Layout",Normal,"Are the benefits presented in a format that’s easy to scan (e.g., icons, imagery, bullet points)? Is a multi-column layout used to organise benefits, making the information easier to digest at a glance?",
,FALSE,Emotional Appeal,Normal,"Does the copy connect with the visitor's emotions by addressing their pain points, desires, and how your product/service will improve their life or solve a problem?",
,FALSE,Benefit Over Feature,Normal,Are the benefits clearly highlighted over the features? Does each feature have a corresponding benefit statement?,
,FALSE,Supporting Visuals,Normal,"Are there visuals, such as diagrams, infographics, or product images, to enhance the explanation of benefits?",
,FALSE,Features Explained Clearly,Normal,Are the product or service features clearly explained and easy to understand?,
,FALSE,Comparison Table,Optional,"If applicable, is there a comparative table to show how your offering stands against competitors?",
,,Reduce Hesitation,,,
,FALSE,Money-Back Guarantee,Normal,Is there a money-back or satisfaction guarantee near the CTA to reduce risk?,
,FALSE,Free Trial/No Commitment,Normal,"Is a no-commitment offer (e.g., free trial) prominently displayed to reduce risk?",
,FALSE,Reassurance Statements,Normal,"Are there confidence-boosting statements near the CTA (e.g., ""No Obligation,"" ""No Credit Card Required"")?",
,6 - STRONG FINISH,,,,
,,FAQ,,,
,FALSE,Common Objections Addressed,High,"Does the FAQ address common concerns, objections, or uncertainties?",
,FALSE,Ease of Navigation,Normal,"Is the FAQ section easy to navigate, with questions grouped logically?",
,FALSE,"Short, Direct Answers",Normal,Are the answers concise and directly address the visitor’s concerns?,
,,Final Pitch,,,
,FALSE,Recap of Benefits,High,Does the final pitch section restate the core benefits and reinforce the value proposition?,
,FALSE,Last CTA,Normal,Is there a final CTA button to encourage conversions at the end of the page?,
,FALSE,Visual Appeal,Normal,Is this section visually engaging and consistent with the rest of the page?,
,FALSE,Repetition of Key Value Proposition,Normal,Does the final pitch reiterate the core value proposition one last time to reinforce the offer?,
,,Footer,,,
,FALSE,Contact Information,Normal,"Does the footer include clear contact information (phone number, email, etc.)?",
,FALSE,Links to Legal Pages,Normal,"Are links to important legal pages, such as the privacy policy, terms and conditions, included?",
,FALSE,Secondary CTA,Optional,"Is there a secondary, subtle CTA for visitors who scroll to the bottom?",
,FALSE,Social Media Links,Optional,"If relevant, are social media links included?",
,FALSE,Trust Signals in Footer,Optional,Are trust badges or certifications repeated in the footer for additional reassurance?,
,,Conversion Tracking & Measurement,,,
,FALSE,Conversion Goals Set Up,Normal,"Have clear conversion goals been established within your analytics platform or landing page builder (e.g., form submissions, button clicks, phone calls)?",
,FALSE,Event Tracking Implemented,Normal,"Are events like CTA clicks, form submissions, or video plays being tracked in Google Analytics or other analytics platforms?",
,FALSE,Google Ads Tag & Meta Pixel Integrated,Normal,Are your Google Ads and Meta Pixel codes properly installed and configured to track conversions from paid campaigns?,
,FALSE,Call Tracking,Normal,"If your landing page uses a phone call CTA, is call tracking enabled to measure the source and quality of calls (e.g., WhatConverts, CallRail, Google Ads Call Tracking)?",
,FALSE,Phone Number Relevance,Normal,"Is the phone number/area code being used in line with the geographic location or area targeted in the campaign, ensuring it feels familiar and relevant to visitors?",